Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
lanshenjialidun/LovelyPython,4,3,0,0,2023-05-30,Python,1
juanrgar/sis,3,2,0,0,2023-12-05,C,1
compycore/crates,3,1,4,30,2023-01-30,C,1
AmericanNumismaticSociety/typologies,3,0,0,0,2023-01-13,,1
petikvx/extract-vs-2012-06,3,0,0,0,2023-03-14,VBA,1
arosboro/wubby,3,0,0,2,2023-07-15,,1
LeonGamer10/FNF-UnknownEngine,3,3,1,2,2024-12-16,Haxe,2
leolost2605/detective,3,0,2,2,2024-10-15,Vala,2
leomindez/celox,3,0,0,0,2018-04-07,Ceylon,1
threethan/MetaMetadata,3,2,1,1,2024-12-18,Python,2
LeoLeal/swipetorefresh,3,1,0,0,2015-12-10,Makefile,1
zraffo/poker_learn,3,6,0,0,2022-07-12,Parrot,1
sergioacg/Arduino_CAE,3,0,0,0,2023-11-13,C++,1
Jinlong-He/AndroidStackMachine,3,5,0,0,2019-04-20,C++,1
ttsiodras/DhryAndWhetstones,3,1,0,0,2023-10-09,C,1
DCS-training/summerschool2024-stream2,3,1,0,0,2024-09-05,HTML,4
sfu-compbio/compression-benchmark-data,3,1,0,0,2021-10-03,Python,1
2015fallhw/cdw11,3,74,4,30,2016-06-29,HTML,67
smartdatapolito/odysseus,3,2,3,5,2022-03-11,Python,9
lambdaclass/merkletree_leo,3,0,0,0,2022-12-22,,2
leo-editor/new-leo-model,2,1,0,0,2021-09-25,Python,1
50733125/2019WCMJ,2,0,0,0,2019-06-04,JavaScript,1
thepian/themaestro,2,0,0,0,2016-04-29,Python,1
FakeZhiyuanLi/GPTSense,2,0,0,0,2023-12-22,Python,3
BlackgateResearch/gmr_django,2,0,2,2,2013-09-30,Python,2
MotionDogs/lenzhound-firmware,2,1,0,0,2024-02-05,C++,4
GregTrevellick/FilesForEveryExtension,2,0,0,0,2019-11-08,TeX,1
ietf-tools/bibxml-data-backup,2,4,0,1,2023-04-02,,2
NOAA-EMC/satingest,2,0,2,24,2023-08-18,Fortran,5
ietf-tools/bibxml-data-archive,2,6,2,7,2023-10-13,,5
LineageOS/android_device_htc_leo,2,2,0,0,2021-12-19,,8
david-borchers/secrgam,2,1,0,0,2015-10-12,R,2
wokula99/GKD_subscription,2,0,0,0,2024-05-13,TypeScript,87
NOAA-EMC/jcb-gdas,2,2,4,2,2024-12-16,Jinja,14
S-T-Soft/aleo-name-service-contract,2,0,0,0,2024-03-29,,1
UnioGame/UniGame.ECS,2,0,0,0,2021-08-27,C#,2
tonysparks/leola-web,2,0,3,4,2020-02-07,Java,1
eried/ArduboyUploaderDock,2,1,0,3,2020-05-23,C,3
FormulaRacingatUCDavis/Dashboard-Firmware-FE9-FE7-Board,2,0,0,0,2023-01-11,C,2
andrewtholt/graspForth,2,0,0,0,2021-02-07,C,1
MrLeo/Leo.UserScript,2,0,0,0,2022-05-30,JavaScript,1
jymm6/Wherewolf,2,0,0,0,2022-11-27,C#,4
MDEGroup/APIRecSys-AML,2,0,0,0,2022-01-27,Java,4
lennertjansen/msc-ai-thesis,2,1,1,1,2022-04-02,Jupyter Notebook,1
cblanquera/geoph,2,2,0,0,2021-10-14,TSQL,1
S2-group/mobilesoft-2020-iam-replication-package,2,2,0,0,2024-07-28,Java,3
beerphilipp/tabbed-out,1,0,0,0,2024-10-03,Kotlin,1
StefanCenusa/IP-Recommandation-System,1,1,0,0,2018-07-25,HTML,9
007skyfall/014_Storage_source_code,1,3,0,0,2021-12-28,C,1
ab2525/ia-more_animation,1,0,0,0,2013-01-07,Standard ML,1
tryAGI/Leonardo,1,3,0,49,2024-12-16,C#,3
xiaohan2012/ve-web,1,0,0,0,2013-12-15,CSS,1
pondo-xyz/aleo-standard-programs,1,0,0,1,2024-12-09,TypeScript,5
DanieleBertagnoli/LinuxDotfiles,1,0,0,0,2024-11-11,CSS,1
Mitfart/LeoECSLite.UniLeo,1,0,0,2,2023-03-10,C#,1
w1s3one805/https-f-droid.org-repo-APPID_-VERCODE.log.gz,1,0,1,3,2024-08-14,Python,1653
sbn-psi/pds4-context-files,1,1,1,1,2023-03-06,Shell,1
andelf/notes,1,1,0,0,2014-12-03,,1
mdecdlab/lab-booking-cdlab,1,1,3,3,2024-03-16,Python,3
ProvableHQ/leo-examples,1,1,0,2,2024-11-19,Shell,3
DrLAlbertoAngelesH/EstudioDelTrabajoII-2024-1,1,0,0,6,2024-06-10,TeX,36
lambdaclass/poseidon_leo,1,0,0,0,2022-12-22,,2
leolost2605/syncher,1,2,3,11,2023-08-31,Vala,3
ramanathanlab/pdfwf,1,2,2,27,2024-09-17,Python,5
coursemdetw/2014c2,1,6,0,0,2015-03-16,Python,24
kaleguy/xml2leo,1,0,0,0,2019-11-30,JavaScript,1
omerozerr/aleo-stablecoin-workshop-omer,1,0,0,0,2024-05-23,Shell,3
mdecadp2018/site-40623130,1,1,0,1,2024-07-22,HTML,3
andlo/mycroft-skills-list-gitbook,1,1,4,4,2022-01-04,Python,2
tsrnnash/bg8-cdw11,1,2,0,0,2016-05-12,HTML,5
TeamWin/device_htc_leo,1,3,0,0,2018-12-08,,9
suniljalandhra/binaryAdder,1,0,0,0,2022-12-16,,1
lambdaclass/leo_stdlib,1,0,6,19,2022-12-26,Nix,5
djradon/public-notes,1,0,0,0,2024-12-15,,2
chenle02/SPDEs-Bib,1,0,0,2,2024-12-05,TeX,3
MH0386/fdroiddata,0,0,0,1,2024-12-15,Python,1843
cryoem/pydusa,0,1,0,13,2024-11-07,C,4
davidbjorklund/website_creation,0,0,0,0,2023-03-05,Python,1
emtee40/fdroiddata,0,0,0,0,2024-12-11,Python,1839
thomas-mauran/dotfiles,0,0,0,0,2023-11-11,CSS,1
giu7d/dotfiles,0,0,0,0,2024-09-02,CSS,1
lain-d/bigChungus,0,0,0,0,2019-01-25,C,1
leonardssh/dotfiles,0,0,0,0,2022-02-26,Shell,1
jolyjonathan/Icons-Ubuntu,0,0,0,0,2024-05-29,,1
unlimish/droiddata,0,0,0,0,2024-06-13,Python,1705
xiaozhu163/Health-Monitoring-System,0,0,0,0,2024-09-10,C,1
durakahmetayberk/aleo_workshop4_stable,0,0,0,0,2023-11-15,Shell,2
andrqxa/A2-oberon,0,0,0,0,2024-11-21,Modula-2,4
40623130/ag4_pyqt5_calculator,0,0,0,0,2017-12-14,Python,7
JulioMCruz/BallotMate.xyz,0,0,0,0,2024-02-18,Python,2
arjanjohan/aleo-istanbul-workshop-4,0,0,0,0,2023-11-15,Shell,2
aeither/aleo-stablecoin-workshop-4,0,0,0,0,2023-11-15,Shell,1
Gitlittlerubbish/SNS,0,2,0,0,2020-03-12,Python,1
katzenpost/fdroiddata,0,0,0,0,2021-11-18,Python,1210
s40523242/2016fallcp_hw,0,0,0,0,2016-10-31,HTML,1
webos-internals/uffdah,0,0,0,0,2019-01-30,Shell,1
mdekmol/cd2019a-task1-2019cda_t1_g2,0,2,2,3,2019-06-21,HTML,8
mdecadp2018/site-scrum-2,0,0,0,0,2018-09-21,JavaScript,2
mdecadp2018/site-40423139,0,0,0,0,2019-01-14,HTML,2
labcibernetica/EMOS,0,0,0,0,2024-11-28,,1
M1rn4/BallotMate.xyz,0,0,0,0,2024-02-18,Python,1
sodyn99/aimlfw-dep-wsl,0,0,0,8,2024-11-10,Shell,18
snowtigersoft/aleo-name-service-contract,0,0,0,0,2023-11-07,,1
supermandw2018/winget-pkgs,0,0,0,0,2022-12-09,PowerShell,1652
hoilc/winget-pkg-versions,0,0,0,0,2024-12-18,PowerShell,1
cran/smoof,0,0,0,0,2023-03-14,R,1
brendanwilliam/basketball-shotplot-data,0,0,0,1,2024-11-27,HTML,1
izaquar/Leox,0,0,0,0,2024-09-11,Python,1
mdecycu/mdecycu.github.io,0,4,0,0,2024-06-28,JavaScript,5
otulach/AthleteApp,0,0,0,0,2024-12-14,Python,1
gabrielcesar/rdby,0,0,0,0,2020-01-05,C,1
40423119/wcmw13,0,0,0,0,2016-05-20,Python,1
hsungchang/cdw11_g5,0,2,0,0,2016-05-05,HTML,6
