Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
Marky-Shi/zk_notes,3,0,0,5,2024-11-11,,1
aridder/zkc,3,0,1,3,2024-03-29,Rust,1
tolak/zk-dcap-verifier,3,1,0,2,2024-09-19,Rust,1
intoverflow/risc0-on-eth,2,0,0,6,2024-01-16,Rust,1
Cypher-Laboratory/risc_zero_lsag_verifier,2,0,0,1,2024-11-16,Rust,1
l2iterative/tech-deep-dive,2,0,0,0,2024-01-18,,1
AntoineF4C5/zkAds-risc0,2,0,0,0,2024-10-23,Rust,1
GuangguangLu/Zkfhed,2,0,0,0,2024-08-29,Rust,1
Ashy5000/polycash,2,0,0,6,2024-11-17,Go,1
tms7331/zgate,2,2,0,0,2024-10-21,TypeScript,1
hoffmabc/digital-marketplace-zkvm,2,0,0,0,2024-08-27,Rust,1
proofcastlabs/bitcoinzk,2,0,6,12,2024-10-10,Rust,4
austinabell/derisc0,2,0,0,0,2024-04-02,Rust,1
0xAndoroid/zkSnake,2,0,1,3,2024-08-18,Rust,2
BoltonBailey/risc0-metamath-15,2,1,3,5,2023-06-18,Objective-C++,3
weikengchen/vfhe-profiled,2,0,0,0,2023-12-15,Rust,1
Dustin-Ray/capy2vML,2,0,0,0,2024-07-19,Rust,1
sweatpotato13/sweatpotato13.github.io,2,1,0,46,2024-09-05,CSS,1
uog-zkp-lab/zk-server,2,0,1,2,2024-11-14,Rust,1
cspr-rad/acropolis-v1,2,1,0,2,2024-09-23,Rust,4
Hyle-org/examples,2,10,15,21,2024-09-27,Rust,4
orpheuslummis/Collaptz,2,1,2,15,2023-07-07,C++,35
harry2855/ShieldFi,2,0,0,0,2023-10-08,Rust,1
informalsystems/cycles-sandbox,2,0,8,9,2024-07-12,Rust,2
reaudito/shivarthu,2,0,10,35,2024-11-16,Rust,1
emilianobonassi/risc0,2,0,0,0,2023-06-07,C++,1
m-kus/stock0,2,1,0,6,2024-10-10,Rust,3
Akagi201/zkvm-foundry-template,1,0,0,0,2024-05-16,Rust,1
Akagi201/zkvm-benchmark,1,0,0,0,2024-03-07,Rust,2
gundeep/hackkrak,1,0,0,0,2024-05-18,Rust,1
InfinityVM/infinityVM-foundry-template,1,0,1,25,2024-11-15,Solidity,3
Shivannsh/ZkAttestify-RiscZero,1,0,1,1,2024-09-07,Rust,2
Sovereign-Labs/risc0-cycle-macros,1,0,1,13,2024-11-10,Rust,4
zerocomputing/zk_imposter,1,0,3,4,2024-09-04,Python,1
Another-DevX/LambdaClass-ZKHackaton,1,0,0,0,2024-08-16,Rust,2
sputn1ck/risc0-mph,1,0,0,0,2024-05-19,Rust,1
odradev/casper-zk-with-risc0,1,0,0,1,2023-07-25,Rust,1
nuke-web3/signing-and-steeling,1,0,1,1,2024-08-10,Rust,1
marleymarl/zkAPI,1,0,0,0,2024-04-26,Rust,1
near-multicall/nearcon22,1,0,0,0,2023-10-22,TypeScript,3
risc0/zkvm-compare,1,1,0,1,2024-06-14,Rust,1
guelowrd/zik-zak-zoo-R0,1,0,0,0,2024-09-12,Rust,1
anoushk1234/risc-web-api,1,0,0,0,2023-08-11,Rust,1
lambdaclass/zk-benchmarks,1,0,2,21,2023-10-04,C++,5
jonas089/spectre-rad,1,0,0,0,2024-10-28,Rust,1
Cypher-Zer0x/state_transition_prover,1,0,0,0,2024-04-25,Rust,1
Pioneering-Proofs/ZKompose,1,0,0,12,2024-08-14,TypeScript,3
giovannivignone/Learning-Rust,1,0,0,0,2022-12-05,Rust,1
HorizenLabs/zkverify-example-typescript,1,1,0,0,2024-08-26,TypeScript,2
omurovec/modexp-range-prover,1,0,0,1,2023-09-19,Rust,1
simonerom/depin-ai-demo,1,1,0,0,2024-04-24,Rust,1
rsproule/needle-in-haystack,1,1,0,1,2023-11-14,Rust,2
Amosel/risc-zero-password-checker-example,1,0,0,0,2023-10-02,Rust,1
jasl/zk_dcap_verifier_poc,1,0,0,0,2024-02-13,Rust,1
WTCHAI/FibonachiRiscZero,1,0,0,4,2024-11-11,Solidity,1
nuke-web3/risc0-client-server-proof-composition,1,0,0,0,2024-07-01,Rust,16
labs7685/Zk-Snake,1,1,1,1,2024-08-22,JavaScript,1
xenowits/cheating-proofs,1,0,0,0,2024-04-08,Rust,1
hridyacp/rollup-records-scalingEth,1,0,0,0,2024-06-08,Rust,1
dread-pirate-roberts-fellowship/zk-reputatation-marketplace,1,0,0,8,2023-06-11,TypeScript,5
jonas089/cypher-poll,1,1,0,0,2024-10-17,Rust,1
zippiehq/riscv-to-evm,1,0,0,0,2023-12-27,TypeScript,1
Sovereign-Labs/riscv-cycle-tracer,1,1,0,0,2024-07-21,Rust,1
